OBJECTID,TRACT_FIPS,ASTHMA_ADJRATE,ASTHMA_L95CI,ASTHMA_U95CI,ASTHMA_STATEADJRATE,ASTHMA_SL95CI,ASTHMA_SU95CI,TRACT_NAME,COUNTY_NAME,ASTHMA_DISPLAY
879,08031004102,1260.59,1115.66,1405.52,630.47,627.45,633.48,"Census Tract 41.02, Denver County, Colorado",DENVER,Higher Than State Average
880,08031004101,1586.54,1413.54,1759.54,630.47,627.45,633.48,"Census Tract 41.01, Denver County, Colorado",DENVER,Higher Than State Average
881,08031003702,859.86,657.97,1061.75,630.47,627.45,633.48,"Census Tract 37.02, Denver County, Colorado",DENVER,Higher Than State Average
882,08031003203,291.46,209.8,373.12,630.47,627.45,633.48,"Census Tract 32.03, Denver County, Colorado",DENVER,Lower Than State Average
883,08031003202,545.93,407.17,684.69,630.47,627.45,633.48,"Census Tract 32.02, Denver County, Colorado",DENVER,Not Different Than State Average
884,08031003901,357.7,263.69,451.71,630.47,627.45,633.48,"Census Tract 39.01, Denver County, Colorado",DENVER,Lower Than State Average
885,08031003800,462.15,383.82,540.49,630.47,627.45,633.48,"Census Tract 38, Denver County, Colorado",DENVER,Lower Than State Average
886,08031003402,435.32,332.25,538.4,630.47,627.45,633.48,"Census Tract 34.02, Denver County, Colorado",DENVER,Lower Than State Average
887,08031003401,262.67,159,366.33,630.47,627.45,633.48,"Census Tract 34.01, Denver County, Colorado",DENVER,Lower Than State Average
888,08031002902,292.49,190.08,394.9,630.47,627.45,633.48,"Census Tract 29.02, Denver County, Colorado",DENVER,Lower Than State Average
889,08031003701,608.4,463.56,753.24,630.47,627.45,633.48,"Census Tract 37.01, Denver County, Colorado",DENVER,Not Different Than State Average
890,08031003201,716.05,558.26,873.84,630.47,627.45,633.48,"Census Tract 32.01, Denver County, Colorado",DENVER,Not Different Than State Average
891,08031002703,595.26,404.04,786.48,630.47,627.45,633.48,"Census Tract 27.03, Denver County, Colorado",DENVER,Not Different Than State Average
892,08031003102,2206.21,1898.83,2513.6,630.47,627.45,633.48,"Census Tract 31.02, Denver County, Colorado",DENVER,Higher Than State Average
893,08031003101,1075.61,779.32,1371.89,630.47,627.45,633.48,"Census Tract 31.01, Denver County, Colorado",DENVER,Higher Than State Average
894,08031002402,818.88,602.14,1035.62,630.47,627.45,633.48,"Census Tract 24.02, Denver County, Colorado",DENVER,Not Different Than State Average
895,08031002602,1595.48,1082.4,2108.56,630.47,627.45,633.48,"Census Tract 26.02, Denver County, Colorado",DENVER,Higher Than State Average
896,08031003603,1216.43,1015.22,1417.63,630.47,627.45,633.48,"Census Tract 36.03, Denver County, Colorado",DENVER,Higher Than State Average
897,08031003002,929.83,726.68,1132.97,630.47,627.45,633.48,"Census Tract 30.02, Denver County, Colorado",DENVER,Higher Than State Average
898,08031003500,1044.36,925.93,1162.79,630.47,627.45,633.48,"Census Tract 35, Denver County, Colorado",DENVER,Higher Than State Average
899,08031003602,1135.24,992.76,1277.73,630.47,627.45,633.48,"Census Tract 36.02, Denver County, Colorado",DENVER,Higher Than State Average
900,08031002300,854.21,718.47,989.96,630.47,627.45,633.48,"Census Tract 23, Denver County, Colorado",DENVER,Higher Than State Average
